year,base_year,value,index_type,series_type,series_deflated,data_version
2015,2009,7.92,inflation,indexed,nominal,"November 9, 2023"
2016,2009,8,inflation,indexed,nominal,"November 9, 2023"
2017,2009,8.14,inflation,indexed,nominal,"November 9, 2023"
2018,2009,8.3,inflation,indexed,nominal,"November 9, 2023"
2019,2009,8.42,inflation,indexed,nominal,"November 9, 2023"
2020,2009,8.51,inflation,indexed,nominal,"November 9, 2023"
2021,2009,8.89,inflation,indexed,nominal,"November 9, 2023"
2022,2009,9.58,inflation,indexed,nominal,"November 9, 2023"
2023,2009,10,inflation,indexed,nominal,"November 9, 2023"
1968,1968,1.6,median_wage,indexed,nominal,"November 9, 2023"
1969,1968,1.7,median_wage,indexed,nominal,"November 9, 2023"
1970,1968,1.79,median_wage,indexed,nominal,"November 9, 2023"
1971,1968,1.89,median_wage,indexed,nominal,"November 9, 2023"
1972,1968,1.99,median_wage,indexed,nominal,"November 9, 2023"
1973,1968,2.1,median_wage,indexed,nominal,"November 9, 2023"
1974,1968,2.27,median_wage,indexed,nominal,"November 9, 2023"
1975,1968,2.49,median_wage,indexed,nominal,"November 9, 2023"
1976,1968,2.66,median_wage,indexed,nominal,"November 9, 2023"
1977,1968,2.84,median_wage,indexed,nominal,"November 9, 2023"
1978,1968,2.99,median_wage,indexed,nominal,"November 9, 2023"
1979,1968,3.24,median_wage,indexed,nominal,"November 9, 2023"
1980,1968,3.55,median_wage,indexed,nominal,"November 9, 2023"
